Dataset Percentage,NA,SR,IN,DE,"SR,IN,DE",BT
100,0.86,0.38,0.25,0.58,0.43,0.29
50,0.43,0.05,0.10,1.37,0.78,0.53
20,0.91,0.33,1.16,1.17,1.22,1.02
5,0.00,2.93,0.00,0.00,0.00,3.16
