Dataset Percentage,NA,SR,IN,DE,"SR,IN,DE",BT
100.00,94.34,94.56,94.42,94.49,94.75,94.42533333
50.00,93.80,93.87,93.94,93.76,94.21,93.95633333
20.00,92.80,93.11,93.01,93.11,93.09,92.81133333
5.00,91.03,91.14,91.08,91.12,91.10,91.38166667
