Dataset Percentage,NA,SR,IN,DE,"SR,IN,DE",BT
100,80.3,79.3,80.4,77.8,77.3,80.6
50,77.9,77.7,77.3,75.1,75.5,78.5
20,76.0,75.6,74.8,73.3,73.2,74.4
5,69.1,70.8,69.1,69.1,69.1,70.9
